300	87.5	88.7931	81.4655	77.5862	74.1379	71.5517	300	300	300	300	300	300	300	300	65.5172	67.2414	69.3966	67.2414	72.8448	76.2931	300	300	300	300	300	300	300	300	300	300	300
300	300	300	300	300	300	300	300	300	300	300	300	43.5345	50	62.5	65.0862	70.2586	70.6897	300	300	300	300	300	300	300	300	47.4138	34.4828	34.4828	34.0517	24.569	19.8276
300	300	300	300	300	300	300	300	300	57.3276	53.8793	50.431	50.8621	53.4483	64.6552	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300
88.3621	85.3448	81.8966	81.0345	74.1379	71.1207	300	300	300	300	55.6034	54.7414	57.3276	53.8793	61.2069	67.2414	300	300	300	300	300	300	72.8448	62.931	66.8103	59.9138	50.8621	47.4138	300	300	300	300
300	300	300	300	300	67.2414	57.3276	41.8103	39.6552	46.5517	53.0172	300	300	300	300	300	300	300	300	300	68.5345	75	65.9483	66.3793	71.9828	62.5	300	300	300	300	300	300
300	300	300	75.8621	71.9828	60.3448	40.5172	29.3103	38.3621	300	300	300	39.2241	45.6897	56.8966	65.9483	65.0862	65.9483	300	300	300	300	300	300	300	300	300	300	300	300	300	300
72.4138	70.2586	72.4138	74.1379	68.9655	49.569	300	300	300	300	300	300	300	300	300	57.7586	62.069	63.3621	56.4655	62.5	70.6897	300	300	300	300	72.8448	64.2241	62.069	52.1552	47.4138	46.1207	300
300	300	300	300	300	300	300	300	43.5345	46.1207	36.6379	21.9828	24.1379	34.9138	300	51.7241	59.0517	59.0517	54.7414	65.5172	70.2586	300	300	300	300	300	300	300	300	300	300	300
300	300	300	300	300	300	300	300	300	300	29.7414	18.9655	22.4138	32.7586	42.6724	51.2931	300	300	300	300	300	65.0862	72.8448	73.2759	71.1207	66.8103	67.2414	300	300	300	300	300
300	87.5	89.2241	77.1552	53.0172	28.4483	21.9828	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	60.7759	64.6552	62.931	62.069	57.3276	45.2586	300
300	300	300	65.5172	41.3793	20.6897	23.7069	35.7759	43.5345	300	300	300	300	300	300	300	300	300	300	72.8448	61.6379	68.5345	63.7931	63.3621	60.3448	300	300	300	300	300	300	300
300	300	75.431	56.8966	34.4828	20.6897	28.8793	39.6552	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	68.1034	62.5	57.7586	52.5862	37.931	25.8621
