300	300	300	300	37.931	42.6724	45.6897	43.9655	44.8276	53.0172	300	300	300	300	300	300	300	50.431	46.5517	40.0862	42.2414	48.7069	52.1552	300	300	300	300	300	300	300	300	300
300	300	300	300	300	300	300	300	300	300	61.6379	65.0862	64.6552	64.2241	64.6552	60.3448	300	300	300	300	300	300	300	300	300	29.7414	21.9828	21.9828	23.7069	27.1552	23.7069	300
300	300	23.2759	29.7414	36.2069	40.9483	45.6897	45.6897	300	300	300	300	300	300	67.6724	60.7759	51.2931	47.4138	46.1207	50.8621	300	60.7759	61.2069	53.8793	48.7069	32.3276	21.1207	300	300	300	300	300
300	300	300	300	300	300	300	300	300	300	300	59.0517	63.3621	69.8276	73.2759	65.5172	57.7586	300	300	300	300	300	300	300	300	300	17.6724	18.9655	26.2931	31.4655	32.3276	34.9138
9.48276	12.5	15.9483	21.1207	28.4483	37.931	300	300	51.7241	55.6034	60.3448	65.0862	71.5517	72.8448	300	300	300	300	300	64.2241	75.431	84.0517	81.4655	76.2931	60.7759	300	300	300	300	300	300	300
300	300	300	300	300	39.6552	37.931	39.6552	42.2414	46.5517	55.1724	300	300	300	300	300	300	300	300	66.8103	75.8621	84.0517	80.6034	75.8621	62.931	41.3793	28.8793	31.8966	41.8103	45.6897	49.569	300
300	18.5345	25.8621	31.8966	35.7759	34.0517	29.3103	300	300	300	300	300	300	300	52.1552	58.6207	71.5517	79.7414	80.1724	79.3103	300	300	300	300	300	300	300	300	300	300	300	300
300	300	300	300	300	300	300	300	300	300	60.3448	72.4138	68.5345	57.3276	57.7586	66.3793	300	300	300	300	300	300	300	300	300	300	71.9828	70.6897	63.3621	55.6034	37.931	25.8621
300	300	23.7069	29.3103	33.1897	29.3103	26.7241	29.7414	300	300	300	300	300	300	300	300	300	300	78.4483	84.4828	93.5345	86.6379	74.569	67.2414	300	300	300	300	300	300	300	300
300	300	300	300	300	300	24.1379	27.1552	39.6552	58.1897	68.9655	68.1034	300	300	300	300	77.1552	75	78.8793	87.931	100	92.2414	300	67.2414	63.7931	65.0862	59.4828	62.931	77.1552	300	300	300
